date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:03:20	125/125	---M-Z	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/plain	date:Fri,%2027%20Sep%202013%2012:51:03%20GMT	https://malermeister-wild.de/robots.txt		(from )
17:03:20	4911/4911	---M-Z	200	added ('OK')	text/html	date:Mon,%2021%20Nov%202022%2017:03:20%20GMT	https://malermeister-wild.de/	malermeister-wild.de/index.html	(from )
17:03:21	19857/19857	---M-Z	200	added ('OK')	text/css	date:Mon,%2021%20Nov%202022%2016:27:11%20GMT	https://malermeister-wild.de/assets/css/fe4a8d393edc.css	malermeister-wild.de/assets/css/fe4a8d393edc.css	(from https://malermeister-wild.de/)
17:03:22	182158/182158	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2021%20Nov%202022%2016:27:11%20GMT	https://malermeister-wild.de/assets/js/ea622770aef3.js	malermeister-wild.de/assets/js/ea622770aef3.js	(from https://malermeister-wild.de/)
17:03:24	233095/233095	---M--	200	added ('OK')	image/png	date:Fri,%2027%20Sep%202013%2012:07:53%20GMT	https://malermeister-wild.de/files/malermeister-wild/img/header-image.png	malermeister-wild.de/files/malermeister-wild/img/header-image.png	(from https://malermeister-wild.de/)
17:03:25	135988/135988	---M--	200	added ('OK')	image/png	date:Mon,%2023%20Mar%202015%2010:57:55%20GMT	https://malermeister-wild.de/files/malermeister-wild/zertifikat.png	malermeister-wild.de/files/malermeister-wild/zertifikat.png	(from https://malermeister-wild.de/)
17:03:25	34095/34095	---M--	200	added ('OK')	image/png	date:Tue,%2001%20Nov%202022%2011:32:16%20GMT	https://malermeister-wild.de/assets/images/3/zertifikat-aecb8383.png	malermeister-wild.de/assets/images/3/zertifikat-aecb8383.png	(from https://malermeister-wild.de/)
17:03:26	2527/2527	---M--	200	added ('OK')	image/png	date:Mon,%2004%20Feb%202019%2011:04:10%20GMT	https://malermeister-wild.de/files/malermeister-wild/email-footer.png	malermeister-wild.de/files/malermeister-wild/email-footer.png	(from https://malermeister-wild.de/)
17:03:27	20270/20270	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2027%20Sep%202013%2011:55:46%20GMT	https://malermeister-wild.de/assets/mootools/mediabox/1.4.6/js/mediabox.js	malermeister-wild.de/assets/mootools/mediabox/1.4.6/js/mediabox.js	(from https://malermeister-wild.de/)
17:03:28	4725/4725	---M-Z	200	added ('OK')	text/html	date:Mon,%2021%20Nov%202022%2017:03:28%20GMT	https://malermeister-wild.de/leistungsangebot/	malermeister-wild.de/leistungsangebot/index.html	(from https://malermeister-wild.de/)
